@relation folhas_neem

@attribute area_folha numeric
@attribute area_manchas numeric
@attribute cor_media numeric
@attribute classe {saudavel,doente}

@data
27886.00,280123.00,175.13,doente
21928.00,286110.00,175.33,doente
21660.00,286219.00,173.91,doente
21439.00,286270.00,173.69,doente
22482.00,285605.00,173.05,doente
15936.00,291855.00,170.22,doente
20776.00,287291.00,172.67,doente
7239.00,299998.00,170.62,doente
22063.00,285878.00,171.95,doente
20613.00,287258.00,173.96,doente
23748.00,284510.00,175.57,doente
20909.00,287134.00,173.79,doente
17334.00,290574.00,171.72,doente
19451.00,288242.00,174.99,doente
24453.00,283646.00,171.44,doente
19801.00,288171.00,171.22,doente
29005.00,279281.00,166.21,doente
21239.00,286841.00,171.33,doente
28749.00,279377.00,167.20,doente
7584.00,299678.00,169.91,doente
22746.00,285013.00,170.05,doente
17159.00,290586.00,172.13,doente
19041.00,289110.00,174.24,doente
17638.00,290224.00,172.92,doente
17879.00,290125.00,172.12,doente
16006.00,291723.00,169.65,doente
15695.00,291966.00,172.59,doente
16755.00,291016.00,173.89,doente
21200.00,286636.00,169.58,doente
21043.00,286857.00,170.15,doente
23016.00,284968.00,170.58,doente
5793.00,301525.00,166.02,doente
27315.00,280691.00,177.25,doente
17877.00,290209.00,173.17,doente
32044.00,275745.00,163.18,doente
27442.00,280415.00,169.76,doente
17019.00,290660.00,177.79,doente
26984.00,280621.00,161.19,doente
28689.00,278806.00,189.13,doente
29999.00,277770.00,190.35,doente
26726.00,281151.00,190.18,doente
29784.00,277774.00,189.94,doente
34611.00,273124.00,194.22,doente
7174.00,300060.00,166.98,doente
17768.00,290287.00,169.89,doente
29262.00,278864.00,196.68,doente
32859.00,274674.00,193.05,doente
36190.00,271728.00,192.03,doente
23076.00,284592.00,195.57,doente
15022.00,292435.00,193.16,doente
15394.00,291971.00,191.92,doente
17802.00,289595.00,194.35,doente
17465.00,290043.00,192.65,doente
19951.00,287827.00,194.55,doente
20076.00,287498.00,165.52,doente
22467.00,285491.00,172.48,doente
12227.00,295054.00,180.31,doente
20976.00,286531.00,167.87,doente
104114.00,216959.00,154.98,doente
10668.00,296877.00,164.70,doente
28799.00,278572.00,192.78,doente
20509.00,287032.00,195.12,doente
27228.00,287524.00,155.75,doente
14333.00,293484.00,186.70,doente
7727.00,211494.00,165.56,doente
14246.00,293369.00,191.28,doente
14875.00,241452.00,166.45,doente
77978.00,218766.00,163.03,doente
95268.00,199883.00,153.78,doente
8019.00,227703.00,165.13,doente
67706.00,231331.00,157.49,doente
10161.00,237050.00,160.70,doente
49281.00,244927.00,163.16,doente
9601.00,226850.00,160.40,doente
9400.00,244711.00,165.05,doente
27647.00,271347.00,167.50,doente
13288.00,258223.00,158.31,doente
13443.00,247003.00,165.39,doente
96790.00,190243.00,162.70,doente
84412.00,181809.00,154.62,doente
94539.00,191240.00,153.55,doente
35769.00,271045.00,161.16,doente
10914.00,238641.00,160.02,doente
38337.00,258105.00,165.38,doente
68679.00,230541.00,164.72,doente
71294.00,227557.00,161.12,doente
71284.00,221186.00,161.63,doente
63951.00,236212.00,165.75,doente
59554.00,217774.00,157.77,doente
73790.00,222806.00,160.40,doente
61974.00,230288.00,169.87,doente
36099.00,246612.00,165.32,doente
56709.00,247702.00,169.38,doente
65535.00,229844.00,167.45,doente
57220.00,247525.00,175.13,doente
